cnpj;denominacao;gestor;ticker;classificacao_sugerida;sinais_mistos;classificacao_final;observacoes
48643091000100;B- INDEX MORNINGSTAR BRASIL MOMENTO FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;BMMT11;Ações Brasil;;;
48643130000179;B-INDEX MORNINGSTAR BRASIL PESOS IGUAIS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;BREW11;Ações Brasil;;;
48643170000110;B-INDEX MORNINGSTAR SETORES CICLICOS BRASIL FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;BCIC11;Ações Brasil;;;
48643220000160;B-INDEX MORNINGSTAR SETORES DEFENSIVOS BRASIL FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;BDEF11;Ações Brasil;;;
34606480000150;BB ETF IBOVESPA FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;BBOV11;Ações Brasil;;;
42427783000134;BTG PACTUAL B3 IBOVESPA FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;IBOB11;Ações Brasil;;;
42682281000150;BTG PACTUAL SMLL B3 FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;SMAB11;Ações Brasil;;;
57063444000193;BTG PACTUAL TEVA DIVIDENDOS ATIVOS REAIS LISTADOS FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;TIRB11;Ações Brasil;;;
14120533000111;CAIXA ETF IBOVESPA FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRI;XBOV11;Ações Brasil;;;
43140303000112;ETF TRÍGONO TEVA AÇÕES MICRO CAP / SMALL CAP FUNDO DE ÍNDICE;TRÍGONO CAPITAL LTDA;TRIG11;Ações Brasil;;;
32203211000118;FUNDO DE INVESTIMENTO DE ÍNDICE - CLASSE DE INVESTIMENTO ETF BRADESCO IBOVESPA - RESP LIMITADA;BANCO BRADESCO S.A.;BOVB11;Ações Brasil;;;
66731874000127;INVESTO BRASIL BANCOS B3 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;BNKS11;Ações Brasil;;;
45814400000179;INVESTO MARKETVECTOR BRAZIL SMALL CAP VALUE ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO GESTÃO DE RECURSOS LTDA.;SCVB11;Ações Brasil;;;
10406600000108;ISHARES BM&FBOVESPA SMALL CAP CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;BLACKROCK BRASIL GESTORA DE INVESTIMENTOS LTDA;SMAL11;Ações Brasil;;;
10406511000161;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;BLACKROCK BRASIL GESTORA DE INVESTIMENTOS LTDA;BOVA11;Ações Brasil;;;
11455378000104;ISHARES IBRX - ÍNDICE  BRASIL (IBrX-100) CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;BLACKROCK BRASIL GESTORA DE INVESTIMENTOS LTDA;BRAX11;Ações Brasil;;;
56211321000190;IT NOW IBOVESPA B3 BR+ FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;B3BR11;Ações Brasil;;;
21407758000119;IT NOW IBOVESPA FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;BOVV11;Ações Brasil;;;
13416245000146;IT NOW IDIV FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;DIVO11;Ações Brasil;;;
54314981000170;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;DIVD11;Ações Brasil;;;
06323688000127;IT NOW PIBB IBRX-50 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;PIBB11;Ações Brasil;;;
